samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
20030,Kursmodul høst 2026,Krokodille- og myggsisten,https://trivselsleder.no/krokodille-og-myggsisten,full-adresse,20068,game,ja,ja
20030,Kursmodul høst 2026,Pingvin og pelikan,https://trivselsleder.no/pingvin-og-pelikan,full-adresse,20069,game,ja,ja
20030,Kursmodul høst 2026,Boccia-bowling,https://trivselsleder.no/boccia-bowling-0,full-adresse,20070,game,ja,ja
20030,Kursmodul høst 2026,Signalet,https://trivselsleder.no/signalet-0,full-adresse,20071,game,ja,ja
20030,Kursmodul høst 2026,"Stein, saks, papir - runden",https://trivselsleder.no/stein-saks-papir-runden-0,full-adresse,20072,game,ja,ja
20030,Kursmodul høst 2026,Moonball Challenge,https://trivselsleder.no/moonball-challenge-0,full-adresse,20073,game,ja,ja
20030,Kursmodul høst 2026,Moonball - sprett og fang,https://trivselsleder.no/moonball-sprett-og-fang,full-adresse,20074,game,ja,ja
20030,Kursmodul høst 2026,Moonball - kast og fang,https://trivselsleder.no/moonball-kast-og-fang,full-adresse,20075,game,ja,ja
20030,Kursmodul høst 2026,Steinen bak ryggen,https://trivselsleder.no/steinen-bak-ryggen,full-adresse,1248,game,ja,ja
20030,Kursmodul høst 2026,Clap Trap,https://trivselsleder.no/clap-trap,full-adresse,20076,game,ja,ja
20030,Kursmodul høst 2026,Rytmerebellen,https://trivselsleder.no/rytmerebellen,full-adresse,20077,game,ja,ja
20030,Kursmodul høst 2026,Brettspill - telling/mengder,https://trivselsleder.no/brettspill-tellingmengder-0,full-adresse,19818,atlu,ja,ja
20030,Kursmodul høst 2026,Brettspill - koordinater,https://trivselsleder.no/brettspill-koordinater-0,full-adresse,19816,atlu,ja,ja
20030,Kursmodul høst 2026,alla_norska_lekar_new.mp4,/file/allanorskalekarnewmp4,pen-adresse,,finnes_ikke,,nei
15510,Tipsliste til FYSAK,Spagaten,https://trivselsleder.no/spagaten-0,full-adresse,,finnes_ikke,,nei
15510,Tipsliste til FYSAK,Befrierne,https://trivselsleder.no/befrierne,full-adresse,10127,game,ja,ja
15510,Tipsliste til FYSAK,Touche fot,https://trivselsleder.no/touche-fot,full-adresse,6146,game,ja,ja
15510,Tipsliste til FYSAK,Kjeglevinnerne,https://trivselsleder.no/kjeglevinnerne,full-adresse,10126,game,ja,ja
15510,Tipsliste til FYSAK,Dyrene i Afrika,https://trivselsleder.no/dyrene-i-afrika,full-adresse,6006,game,ja,ja
15510,Tipsliste til FYSAK,Lærerne knuser kidsa,https://trivselsleder.no/laererne-knuser-kidsa,full-adresse,1051,game,ja,ja
15510,Tipsliste til FYSAK,Fire lys,https://trivselsleder.no/fire-lys,full-adresse,1076,game,ja,ja
15510,Tipsliste til FYSAK,Soppball,https://trivselsleder.no/soppball,full-adresse,8858,game,ja,ja
